"X","text","textClean","bigrams"
56,"We hebben een kind met medische zorg dat voor 3 telt en een gezond kind. Hoe graag we ooit 3 kinderen wilde, fysiek en mentaal trekken we het niet om nog een kindje erbij te krijgen. ","kind medische zorg 3 telt gezond kind graag 3 kinderen wilde fysiek mentaal trekken kindje erbij krijgen","medische_zorg 3_telt gezond_kind 3_kinderen kinderen_wilde wilde_fysiek mentaal_trekken kindje_erbij"
57,"Geen partner ","partner",NA
58,"Ik wil alleen kinderen met een partner, op dit moment heb ik geen partner. Voordat je dan aan een kind begint, moet je relatie wel stabiel zijn. Ik verwacht daarom niet gepland binnen drie jaar een kind te krijgen ","kinderen partner moment partner kind begint relatie stabiel verwacht gepland jaar kind krijgen","kind_begint"
59,"Ik ben ziek geweest en weet niet of ik nog vruchtbaar ben. De kinderwens is er wel, maar ik moet nog medicijnen slikken en pas als ik daarmee klaar ben kunnen we kijken of het lukt. ","ziek weet vruchtbaar kinderwens medicijnen slikken daarmee kijken lukt","medicijnen_slikken"
60,"Nu hebben we 2 gezonde kinderen. Dit jaar word ik 35 jaar en wil ook niet ouder dan 36 jaar zijn om nog zwanger te raken ivm eventuele risico's. Daarnaast willen we onze kinderen ook veel kunnen bieden erbij en een derde  kindje is toch ook weer een kostenpost. ","2 gezonde kinderen jaar 35 jaar ouder 36 jaar zwanger raken ivm eventuele risicos daarnaast kinderen bieden erbij kindje kostenpost","2_gezonde gezonde_kinderen 35_jaar 36_jaar raken_ivm ivm_eventuele eventuele_risicos risicos_daarnaast bieden_erbij"
61,"Ik ben nog niet in staat om een kind goed op te voeden momenteel, zonder te stoppen met mijn opleiding en/of het grootste deel van mijn vrijheid en sociale kring te verliezen ","staat kind goed voeden momenteel stoppen opleiding enof grootste deel vrijheid sociale kring verliezen","kind_goed voeden_momenteel opleiding_enof grootste_deel sociale_kring"
62,"We hebben 3 gezonde kinderen en dat is al een geschenk en rijkdom! ","3 gezonde kinderen geschenk rijkdom","3_gezonde gezonde_kinderen"
63,"Ik heb al 2 kinderen wat ik genoeg vind. Verder vindik mezelf nu ook te oud om nog meer kinderen te krijgen ","2 kinderen genoeg vind vindik oud kinderen krijgen","2_kinderen genoeg_vind"
64,"Ik heb 3 gezonde kinderen en dat is voldoende. Ons gezin is compleet. Ik was wel bang dat het bij de 1e niet zou lukken. Dit omdat we in de omgeving veel mensen kenden waarbij het vanzelfsprekend was. ","3 gezonde kinderen voldoende gezin compleet bang 1e lukken omgeving mensen kenden waarbij vanzelfsprekend","3_gezonde gezonde_kinderen mensen_kenden kenden_waarbij"
65,"Ik ben nu 29, en totaal nog niet toe aan die keuze maken. Als ik nu zou moeten kiezen nu kinderen of nooit dan zou ik nooit kinderen willen. Tegelijk is het toch een angst dat je niet makkelijk kinderen kan krijgen en de risico's met het ouder worden als vrouw zijnde. ook merk ik in mijn relatie dat mijn vriend er wat makkelijker over denkt dan ik. Wat waarschijnlijk komt omdat je als vrouw zijnde al vanaf je 20ste bewust bent dat je vruchtbaarheid niet o","29 totaal keuze kiezen kinderen kinderen tegelijk angst makkelijk kinderen krijgen risicos ouder vrouw zijnde merk relatie vriend makkelijker denkt komt vrouw zijnde 20ste bewust vruchtbaarheid o","makkelijk_kinderen vrouw_zijnde vrouw_zijnde 20ste_bewust"
66,"Ik wil graag kinderen en ik ga er vanuit dat dit ook gaat gebeuren. Momenteel nog geen partner en ik ben er verder nog niet echt mee bezig. ","graag kinderen ga gaat gebeuren momenteel partner echt mee bezig","graag_kinderen gaat_gebeuren gebeuren_momenteel echt_mee mee_bezig"
67,"We zijn er klaar voor, mits het ons gegund is. ","gegund",NA
68,"het hangt af van mij persoonlijke situatie op dat moment, en ook de economische en sociale situatie van het land waarin ik woon ","hangt persoonlijke situatie moment economische sociale situatie land waarin woon","persoonlijke_situatie sociale_situatie land_waarin"
69,"Onze kinderen zijn nu op een leeftijd dat we onze vrijheid weer terug krijgen. We kunnen spontaan dingen ondernemen zonder rekening te hoeven houden met oppas of slaapjes. De kinderen zijn zelfstandiger. Bovendien moet ik er niet aan denken om op deze leeftijd nog een kind te krijgen ","kinderen leeftijd vrijheid terug krijgen spontaan dingen ondernemen rekening hoeven houden oppas slaapjes kinderen zelfstandiger denken leeftijd kind krijgen","terug_krijgen spontaan_dingen dingen_ondernemen hoeven_houden"
70,"Leeftijd ","leeftijd","NA_NA"
71,"Ik heb nog geen partner op dit moment en ik ben nu 26 jaar en zou graag beginnen met kinderen rond een jaar of 30. Dus ik verwacht nu nog geen kinderen in de komende drie jaar maar daarna wel graag. ","partner moment 26 jaar graag beginnen kinderen jaar 30 verwacht kinderen komende jaar graag","26_jaar graag_beginnen"
72,"Ik sta er niet achter om kinderen te krijgen als lesbisch koppel. Dit omdat ik van mening ben dat een kind een vader figuur nodig heeft en dat een kind biologisch verwerkt mag worden. Ik sta niet achter de andere mogelijkheden. ","sta kinderen krijgen lesbisch koppel mening kind vader figuur nodig kind biologisch verwerkt sta mogelijkheden","lesbisch_koppel vader_figuur figuur_nodig kind_biologisch biologisch_verwerkt"
73,"Geen vent ","vent",NA
74,"Ik heb echt een pesthekel aan kinderen. Ik vind ze in het beste geval gewoon saai; ik zou me niet kunnen voorstellen hoe ik een hele dag met een kind moet doorbrengen. Als m'n neefje me iets wil laten zien of probeert me te betrekken bij zijn spel, druk ik m'n snor en schuif ik m'n zus (de andere tante) door zodat zij ermee kan dealen. Kinderen van vrienden en familie tolereer ik, ik kan er geen ander woord voor verzinnen, ik kan echt moeilijk genieten van de aanwezidheid van kinderen. Ik snap dat het nergens op slaat en dat er vast heel veel leuke kanten zijn, maar ik heb er gewoon echt helemaal niks mee, ik vind het gewoon echt op geen enkele manier boeiend.   Even los daarvan past het ook echt niet bij m'n leefstijl en heb ik geen (behoefte aan) een vaste partner om een kind mee te maken. Maar voorop wil ik het gewoon echt niet. Het voordeel hiervanis trouwens wel dat ik me om een heleboel ONGELOFELIJKE dilemma's en zorgen dus nooit de kop zal hoeven breken. Hoe oud is oud genoeg voor een smartphone, hoe oud is oud genoeg voor een biertje, straks komen ze onder een auto.  Oh ja, daarover gesproken: kinderen gaan dood. Niet allemaal, maar sommige wel, en dan is je leven dus gewoon klaar. Als ik wel kinderen zou willen zou ik hier permanent van wakker liggen. ","echt pesthekel kinderen vind beste geval saai voorstellen hele dag kind doorbrengen mn neefje laten zien probeert betrekken spel druk mn snor schuif mn zus tante ermee dealen kinderen vrienden familie tolereer woord verzinnen echt moeilijk genieten aanwezidheid kinderen snap slaat vast leuke kanten echt helemaal mee vind echt enkele manier boeiend los daarvan past echt mn leefstijl behoefte vaste partner kind mee echt voordeel hiervanis trouwens heleboel ongelofelijke dilemmas zorgen kop hoeven breken oud oud genoeg smartphone oud oud genoeg biertje straks komen auto oh daarover gesproken kinderen gaan dood allemaal leven kinderen permanent wakker liggen","beste_geval hele_dag mn_neefje laten_zien spel_druk mn_snor mn_zus dealen_kinderen familie_tolereer echt_moeilijk moeilijk_genieten leuke_kanten echt_helemaal enkele_manier manier_boeiend los_daarvan daarvan_past mn_leefstijl vaste_partner kind_mee voordeel_hiervanis hiervanis_trouwens heleboel_ongelofelijke ongelofelijke_dilemmas hoeven_breken oud_genoeg oud_genoeg biertje_straks straks_komen auto_oh daarover_gesproken gesproken_kinderen kinderen_gaan gaan_dood wakker_liggen"
75,"Gezien mijn situatie en leeftijd ben ik zeker van geen plannen te hebben voor een tweede kind ","gezien situatie leeftijd zeker plannen kind",NA
76,"Vanwege mijn.psychische onbalans: borderline persoonlijkheidsstoornis vind ik het niet verstandig meer kinderen te krijgen. Als ik dit niet zou hebben dan zou ik wel graag meer kinderen hebben gewild. Ik heb mezelf laten steriliseren om te voorkomen dat ik nog zwanger kan raken. ","psychische onbalans borderline persoonlijkheidsstoornis vind verstandig kinderen krijgen graag kinderen gewild laten steriliseren voorkomen zwanger raken","psychische_onbalans onbalans_borderline borderline_persoonlijkheidsstoornis persoonlijkheidsstoornis_vind laten_steriliseren"
77,"Momenteel ben ik 25 en nog aan het studeren. Ik wil graag carriÃ¨re maken en geld verdienen. Misschien nog reizen en dat wil ik niet combineren met kinderen. Dan hoop ik eind 20 met mijn vriend te trouwen en daarna maar een keer kinderen. Dan kunnen we intussentijd geld sparen, want nu kunnen we het ons ook niet bekostigen en we wonen in een studentenhuis dus het kan niet ","momenteel 25 studeren graag carriãre geld verdienen reizen combineren kinderen hoop eind 20 vriend trouwen keer kinderen intussentijd geld sparen bekostigen wonen studentenhuis","graag_carriãre geld_verdienen eind_20 keer_kinderen intussentijd_geld geld_sparen"
78,"Geen behoefte aan. ","behoefte",NA
79,"Wij verwachten op dit moment niet dat er nog gezinsuitbreiding komt. Maar helemaal uitgesloten is het ook niet. Over drie jaar zou ik 42 zijn en mijn man 50, dus ik verwacht eigenlijk niet dat we nog biologische kinderen krijgen. We staan wel open voor eventue","verwachten moment gezinsuitbreiding komt helemaal uitgesloten jaar 42 man 50 verwacht biologische kinderen krijgen staan open eventue","gezinsuitbreiding_komt helemaal_uitgesloten man_50 biologische_kinderen kinderen_krijgen"
80,"We willen heel graag een kind. en dat zou de komende tijd nog kunnen ","graag kind komende tijd","komende_tijd"
81,"Ik ben een internationale student en ik wil graag verder gaan met studeren. Ook voel ik me nog niet helemaal voorbereid om kinderen te krijgen. ","internationale student graag gaan studeren voel helemaal voorbereid kinderen krijgen","internationale_student helemaal_voorbereid"
82,"Ik heb geen relatie. ","relatie",NA
83,"Ik ben single en inmiddels bijna 42 jaar dus de kinderwens is inmiddels wel vervlogen ","single 42 jaar kinderwens vervlogen","42_jaar"
84,"Na drie jongens is het prima voor ons. Ons gezin is compleet ","jongens prima gezin compleet",NA
85,"Hoe samen met opleiding en carriÃ¨re maken (dokter). Kosten (mega lening van studie nu, straks een keer een huis etc).  Wat er allemaal mis kan gaan tijdens zwangerschap met jezelf en 't kind ","opleiding carriãre dokter kosten mega lening studie straks keer huis allemaal mis gaan zwangerschap t kind","dokter_kosten kosten_mega mega_lening allemaal_mis t_kind"
86,"Op dit moment is het niet zo'n fijne tijd om kinderen te krijgen ","moment zon fijne tijd kinderen krijgen","zon_fijne fijne_tijd"
87,"Ik heb PCOS, wat kort gezegd inhoud dat ik geen gezonde eisprong heb en hierdoor ook minder vaak ongesteld heb. Ik heb bloedblaasjes in mijn baarmoeder, welgenoemd cystes. Om deze reden ben ik onzeker of het krijgen van kinderen â€˜makkelijkâ€™ gaat voorlopen. Ik houd er rekening mee dat ik er medische hulp bij nodig ben. Ik ben nu 24 en nog te jong voor kinderen. Maar ik zou wel optijd met mijn kinderwens willen beginnen, vanwege bovenstaande. Dit heb ik ook besproken met mijn vriend. Ik hoop dus kinderen te mogen krijgen in de toekomst :) ","pcos kort gezegd inhoud gezonde eisprong hierdoor ongesteld bloedblaasjes baarmoeder welgenoemd cystes reden onzeker krijgen kinderen âmakkelijkâ gaat voorlopen houd rekening mee medische hulp nodig 24 jong kinderen optijd kinderwens beginnen bovenstaande besproken vriend hoop kinderen krijgen toekomst","kort_gezegd gezegd_inhoud gezonde_eisprong baarmoeder_welgenoemd welgenoemd_cystes kinderen_âmakkelijkâ âmakkelijkâ_gaat gaat_voorlopen rekening_mee medische_hulp"
88,"Ik vind mezelf nog te jong en wil graag carriÃ¨re maken ","vind jong graag carriãre","graag_carriãre"
